My Status	Company Name	Programme Name	Opening Date	Closing Date	Latest Stage	Last Year Opening	Process	Find Housing	Info & Test Prep	Rolling	CV	Cover Letter	Written Answers	Sponsors Visa	Notes
Not Applied	D.E. Shaw	Trader/Analyst Intern (London) - Summer 2027	01 Jun 26			15 Jun 25		Marylebone		Yes	Yes	No	No
Not Applied	Trackr	2026 Summer Academy	23 May 26	05 Jun 26				St Paul's		Yes	No	No	No		8-week course focused on application technique.
Not Applied	Wincent	Quant Research/Trading Internship - Summer 2027				21 Sep 25	OA > TI > VI > VI > AC			Yes	Yes	No	No	No	Based in Slovakia, open to students in UK
Not Applied	Piper Sandler	2027 Summer Analyst Programme				06 Oct 25		Guildhall		Yes	Yes	Yes	No
Not Applied	Newton	Summer Academy 2026/6				24 Nov 25	OA > HV > AC	Blackfriars		Yes	Yes	No	No
Not Applied	Goldman Sachs	2027 Summer Analyst Programme				15 Aug 25	HV > AC	Chancery Lane	Goldman Sachs Prep	Yes	Yes	Yes	No
Not Applied	Barclays	Summer Internship Programme 2027				25 Aug 25	OA > HV > TI > AC	Mayfair	SHL	Yes	Yes	No	No
Not Applied	Bank of America	Summer 2027 Analyst Programme				30 Aug 25	HV > TI > AC	St Paul's	BAML Prep	Yes	Yes	No	Yes
Not Applied	J.P. Morgan	2027 Summer Internship Program				31 Aug 25	HV > AC	Canary Wharf Estate	J.P. Morgan Prep	Yes	Yes	Yes	No
Not Applied	Morgan Stanley	2027 Summer Analyst Programme				31 Aug 25	OA > HV > TI > AC	Canary Wharf Estate	Cut-e	Yes	Yes	Yes	No
Not Applied	UBS	2027 Summer Intern Program				01 Sep 25	OA > HV > AC	Liverpool Street	Cut-e	Yes	Yes	No	Yes	Yes
Not Applied	Deutsche Bank	Internship Programme 2027				07 Sep 25	OA > HV > AC	Barbican	SHL	Yes	Yes	No	No
Not Applied	Citi	Summer Analyst 2027				06 Jan 26	OA > VI > AC	Old Street	Plum	Yes	Yes	No	No
Not Applied	Rothschild & Co.	2027 Summer Analyst Programme				12 Aug 25	OA > VI > VI > AC	Bank	Cappfinity	Yes	Yes	No	Yes
Not Applied	Moelis & Co	2027 Summer Analyst, Investment Banking				14 Aug 25	OA > VI > AC	St Paul's	Test Partnership	Yes	Yes	No	No
Not Applied	Evercore	Summer Internship (2027)				17 Aug 25	HV > VI > AC			Yes	Yes	No	No
Not Applied	Qatalyst Partners	2027 M&A Advisory Summer Internship				18 Aug 25	OA > VI > AC	Cannon Street		Yes	Yes	No	Yes
Not Applied	Perella Weinberg Partners	2027 Advisory Summer Analyst Programme				23 Aug 25	TI > VI > AC	Fitzrovia		Yes	Yes	No	Yes
Not Applied	Centerview Partners	2027 Summer Internship				24 Aug 25	F2F > AC	Soho		Yes	Yes	No	No	Yes
Not Applied	Greenhill	2027 Summer Internship				25 Aug 25	VI > OA > VI > AC	Mayfair		Yes	Yes	No	Yes	Yes
Not Applied	Raine Group	2027 Summer Analyst				25 Aug 25	8x TIs	Mayfair		Yes	Yes	Yes	No
Not Applied	PJT Partners	2027 Summer Intern Analyst				31 Aug 25	OA > VI > AC	Mayfair	Suited	No	Yes	Yes	No
Not Applied	Ardea Partners	2027 Summer Analyst Programme				03 Sep 25		Mayfair		Yes	Yes	No	Yes
Not Applied	Lazard	2027 Summer Internship				19 Sep 25	OA > HV > AC > AC	Marylebone	Lazard SJT	Yes	Yes	No	No
Not Applied	BNP Paribas	2027 Summer Internship Programme				11 Aug 25	OA > VI > AC	Camden	Cut-e	Yes	Yes	No	No
Not Applied	Fenchurch Advisory	2027 Summer Internship Programme				19 Aug 25	TI > VI > AC	Bishopsgate		Yes	Yes	No	No	Yes
Not Applied	Campbell Lutyens	Summer Analysts 2027				20 Aug 25		St James's		Yes	Yes	No	No
Not Applied	Wells Fargo	EMEA Summer Analyst				20 Aug 25		Cannon Street	VJT	Yes	Yes	No	No
Not Applied	Santander	CIB 2027 Summer Internship Program				23 Aug 25		Camden	SOVA > SHL	Yes	Yes	Yes	No
Not Applied	Gleacher Shacklock	Investment Banking Summer Internship 2027				27 Aug 25	TI > VI > AC	St James's		Yes	Yes	No	Yes
Not Applied	MUFG	MUFG 2027 Summer Internship				31 Aug 25	OA > TI > AC	Barbican		Yes	Yes	No	Yes
Not Applied	Macquarie Group	2027 Summer Internship Programme				31 Aug 25		Barbican	Talent-Q	Yes	Yes	No	No
Not Applied	Nomura	2027 Summer Internship Programme				31 Aug 25	OA > TI > AC	Cannon Street	Cut-e	Yes	Yes	No	Yes
Not Applied	Eastdil Secured	2027 Summer Internship				01 Sep 25		Mayfair		Yes	Yes	Optional	Yes
Not Applied	Jefferies	2027 Summer Internship Programme				01 Sep 25	OA > VI > AC	Bishopsgate	SHL	Yes	Yes	No	Yes	Yes
Not Applied	Mizuho	Summer Internship				01 Sep 25	OA > TI > AC	St Paul's		Yes	Yes	Yes	No	No
Not Applied	Raymond James	2027 Summer Analyst Programme				02 Sep 25	TI > VI > AC	Barbican		Yes	Yes	No	No
Not Applied	William Blair	Investment Banking Summer 2027 Analyst				02 Sep 25		Bishopsgate		Yes	Yes	No	No
Not Applied	HSBC	Summer Internship 2026-2027				03 Sep 25	OA > HV > AC	Canary Wharf	Cappfinity	Yes	Yes	No	No
Not Applied	Standard Chartered	Internship Programme UK 2027				03 Sep 25		Guildhall	Pymetrics	Yes	Yes	No	No
Not Applied	Houlihan Lokey	Summer Financial Analyst 2027				07 Sep 25	OA > VI > AC	Mayfair	Suited	Yes	Yes	Yes	No
Not Applied	Société Générale	2027 Summer Internship Programme				07 Sep 25	OA > VI > AC > VI	Whitechapel / Spitalfields	Talent-Q	Yes	Yes	Yes	No	Yes
Not Applied	Rede Partners	2027 Summer Intern Programme				08 Sep 25	TI > VI > AC	Mayfair	Thomas	Yes	Yes	No	Yes
Not Applied	RBC Capital Markets	2027 Summer Analyst				09 Sep 25	OA > TI > AC	Liverpool Street	smartPredict	Yes	Yes	No	Yes
Not Applied	DC Advisory	Summer Analyst Programme 2027				11 Sep 25	TI > OA > VI > AC	Bank		Yes	Yes	No	No
Not Applied	Guggenheim Partners	2027 Investment Banking Analyst Intern				11 Sep 25		Pimlico		Yes	Yes	No	No	No
Not Applied	Panmure Liberum	2027 Summer Internship Programme				16 Sep 25	VI > AC	Barbican		No	Yes	Yes	Yes
Not Applied	TD Securities	2027 Summer Internship Programme				21 Sep 25		Bank		Yes	Yes	Yes	No
Not Applied	Alantra	FIG Summer Intern				22 Sep 25		St Paul's		Yes	Yes	No	No
Not Applied	CIBC	Summer Intern 2027				22 Sep 25	OA > VI > AC	Guildhall	SHL	Yes	Yes	Yes	No
Not Applied	BTIG	2027 UK Internship Program				01 Oct 25		Bishopsgate		No	Yes	Optional	Yes
Not Applied	Peel Hunt	Investment Banking Internship 2027				01 Oct 25	AC	Liverpool Street		No	Yes	Optional	No		Recorded video answer as part of application
Not Applied	DealGlobe	M&A Analyst Intern (Mandarin speaking)				05 Oct 25		Canary Wharf Estate		Yes	Yes	No	Yes		Mandarin required, apply via email to careers@dealglobe.com
Not Applied	Lincoln International	UK Summer Internship Programme 2027				06 Oct 25		Covent Garden		Yes	Yes	Optional	No
Not Applied	Piper Sandler	2027 Summer Analyst Programme				06 Oct 25		Guildhall		Yes	Yes	Yes	No
Not Applied	BMO Capital Markets	2027 Investment Banking Summer Analyst				10 Oct 25		Liverpool Street		Yes	Yes		No	No
Not Applied	Howden	Investment Banking Summer Analyst				10 Oct 25	OA > HV > AC	Aldgate		Yes	Yes	No	No
Not Applied	KR8 Advisory	Business & Capital Advisory (Intern)				10 Oct 25		St James's		Yes	Yes	Optional	No
Not Applied	Baird	M&A Summer Internship 2027				12 Oct 25		Liverpool Street		Yes	Yes	No	No	Yes
Not Applied	Investec	Summer Internship 2027				12 Oct 25		Guildhall		Yes	Yes	No	No	No
Not Applied	NatWest Markets	Front Office - Internship				12 Oct 25		Liverpool Street	SHL	Yes	Yes	No	No
Not Applied	Pharus	Investment Banking Summer Analyst - 2027				13 Oct 25		Marylebone		Yes	Yes	No	No
Not Applied	Scotiabank	2027 UK Summer Internship				15 Oct 25	HV > VI > AC	Liverpool Street		Yes	Yes	No	No
Not Applied	Quantuma	Corporate Finance Analyst (Intern)				30 Oct 25		Chancery Lane		Yes	Yes	Optional	No
Not Applied	Skagen Capital	Investment banking intern				30 Oct 25		Mayfair		Yes	Yes	No	No
Not Applied	Allia C&C	Advisory and Funding Team Internship				31 Oct 25		Guildhall		Yes	Yes	Yes	No		Apply by sending CV and a cover letter to recruitment@allia.org.uk
Not Applied	Crédit Agricole	Summer Internship Programme 2027				03 Nov 25		Shoreditch	Cut-e	Yes	Yes	Optional	No
Not Applied	Flowdesk	Sales Intern EMEA (F/M/D)				05 Nov 25				Yes	Yes	Yes	No
Not Applied	MKI Global Partners	Summer Analyst (Event-Driven/Special Situations)				05 Nov 25				Yes	Yes	No	Yes		Apply via email
Not Applied	CITIC CLSA	Internship Programme 2027				06 Nov 25		Bishopsgate		Yes	Yes	No	Yes	No
Not Applied	Lloyds Banking Group	Summer Internship 2027				17 Nov 25	OA > HV	Guildhall	SHL	Yes	No	No	No
Not Applied	GP Bullhound	Future Stars - Work Experience & Insight Programme				18 Nov 25	VI	Whitehall		Yes	Yes	Optional	No		Recorded video answer as part of application
Not Applied	Global Infrastructure Advisors	Analyst / Analyst Internship				19 Nov 25	HV > AC > TI > VI > AC	Pimlico		Yes	Yes	No	No
Not Applied	Leerink Partners	2027 Investment Banking Summer Analyst Program				20 Nov 25				Yes	Yes	No	Yes
Not Applied	Insurance Advisory Partners	Investment Banking Intern				21 Nov 25		Lloyd's		Yes	Yes	No	No
Not Applied	STJ Advisors	Summer Internship Program 2027				22 Nov 25		St James's		Yes	Yes	Yes	No		Apply by sending CV and a cover letter to hr@stjadvisors.com
Not Applied	National Bank of Canada	Intern				26 Nov 25		Aldgate		Yes	Yes	Yes	No		Apply by sending CV and a cover letter to hrsupport-london@bnc.ca
Not Applied	Loizou & Co	Financial Advisory Internship				27 Nov 25		Mayfair		Yes	Yes	Yes	No		Apply by sending CV and a cover letter to careers@loizouco.com
Not Applied	Stifel	Investment Banking Summer Intern				27 Nov 25	VI > AC	Guildhall		Yes	Yes	Optional	Yes
Not Applied	Harris Williams	Summer Analyst				03 Dec 25		Mayfair		Yes	Yes	No	No
Not Applied	Rede Partners	Spring into Rede Insight Programme 2027				16 Dec 25		Mayfair	Thomas	Yes	Yes	No	Yes
Not Applied	Gneiss Energy	Summer Internship 2027				22 Dec 25		Mayfair		Yes	Yes	No	No
Not Applied	Stout	2027 Summer Intern - Corporate Finance				24 Dec 25		St James's		Yes	Yes	Yes	No
Not Applied	William Blair	Investment Banking Summer Analyst, Secondary Advisory				02 Jan 26	OA > VI > AC	Bishopsgate		Yes	Yes	Optional	No
Not Applied	Houlihan Lokey	Summer Financial Analyst - Manchester				05 Jan 26	OA > VI > AC	Mayfair	Suited	Yes	Yes	Yes	No
Not Applied	BTG Pactual	Internship | Special Situations				08 Jan 26		Canary Wharf Estate		Yes	Yes	Optional	No		Requires 18 months relevant experience (?!)
Not Applied	Cygnum Capital	2027 Summer Internship Programme				13 Jan 26		Mayfair		Yes	Yes	Optional	No
Not Applied	Berenberg	Summer Internship 2027				16 Jan 26		Bank		Yes	Yes	Optional	No
Not Applied	First Bank of Nigeria	2027 Summer Internship Programme				20 Jan 26		Liverpool Street		Yes	Yes	No	Yes
Not Applied	BDO Global	2027 Summer Internship Programme				28 Jan 26	OA > HV > AC	Clerkenwell	Arctic Shores	Yes	Yes	No	No	No
Not Applied	Handelsbanken	Summer Internship 2027				31 Jan 26		Guildhall		Yes	Yes	Optional	No
Not Applied	Galaxy	2027 Summer Internship				03 Feb 26	HV > VI > VI > VI	London		Yes	Yes	Optional	Yes
Not Applied	BBVA	Summer Internship C&IB				10 Feb 26				Yes	Yes
Not Applied	Zeus Capital	Zeus Internship 2027				16 Feb 26		Bishopsgate		Yes	Yes
Not Applied	PKF Smith Cooper	Internship - Summer 2027				23 Feb 26		Southwark		Yes	Yes	Optional	Yes
Not Applied	ABN AMRO	Summer Intern - Corporate DCM				16 Mar 26		Barbican		Yes	Yes	Yes	No
Not Applied	Citadel	International Equities Associate – Intern	21 May 26		Final Round	29 May 25		Barbican	Wonderlic	Yes	Yes	No	No
Not Applied	Capula Investment Management	Trading & Research Summer Internship 2027	03 Apr 26			10 Apr 25	TI > VI > AC	Mayfair		Yes	Yes	No	Yes	Yes
Not Applied	Point72	2027 Academy Investment Summer Internship	02 Mar 26		Second Round	03 Mar 25	Case Study > TI > TI > TI	St James's	Point72 Prep	Yes	Yes	No	Yes		2-5 telephone interviews across HR and traders
Not Applied	Millennium Management	Millennium Investment Internship 2027	26 Feb 26	24 Mar 26	Offers Out	02 Aug 25	OA > TI > VI > VI	Mayfair		Yes	Yes	No	No
Not Applied	Blackstone	2027 Blackstone Summer Analyst				09 Jun 25	OA > HV > VI > VI > AC	Mayfair	Pymetrics	Yes	Yes	No	No
Not Applied	GIC	GIC Internship Programme 2027				18 Jun 25		Marylebone	Predictive Index	Yes	Yes	No	No
Not Applied	Squarepoint Capital	Intern Quant Researcher				02 Jul 25		Barbican		Yes	Yes	Optional	No
Not Applied	Temasek	Temasek Summer Associate Programme 2027				11 Aug 25		St James's		Yes	Yes	No	No
Not Applied	Oak Hill Advisors	Summer Analyst 2027				18 Aug 25		St James's		Yes	Yes	No	No
Not Applied	Balyasny Asset Management	Quantitative Analyst – Macro & Commodities (Summer Internship)				19 Aug 25		St James's		Yes	Yes	No	No
Not Applied	Ares Management	Summer Analyst Programme 2027				26 Aug 25	TI > VI > OA > AC > VI	Mayfair		Yes	Yes	No	Yes	Yes
Not Applied	Capstone	2027 Summer Internship				01 Sep 25		Soho		No	Yes	No	No		Investment Research, Quant
Not Applied	InfraRed Capital Partners	2027 Summer Analyst				04 Sep 25		St Paul's		Yes	Yes	No	Yes	No
Not Applied	Verition Fund Management	2027 Summer Internship				04 Sep 25				Yes	Yes	No	Yes
Not Applied	CD&R	Private Equity Summer Internship 2027				09 Sep 25		St James's		Yes	Yes	No	No
Not Applied	Orbis	Investment Analyst Internship 2026-2027				09 Sep 25	OA > VI > TI > AC	Camden		Yes	Yes	Yes	Yes
